,year,company,eia_id,cec_id,plant,state,capacity_MW,gross_MWhm,net_MWh
325,2016,Not Available,Missing,W0310,Wind Stream Operations 6111 (AES Tehachapi Wind - Zond Systems  Inc - Northwind),CA,6.3,7704,7704
326,2016,Not Available,50533,W0311,Painted Hills Wind Developers (Zond Systems Inc - 6112),CA,19.2,33058,33058
327,2016,Not Available,50534,W0331,Santa Clara 85C - Decommissioned 7/1/2016,CA,16.0,9604,9604
328,2016,Oasis Power Partners LLC,56302,W0385,Oasis Power Partners LLC,CA,60.0,180671,180671
329,2016,Pettern Energy (Ocotillo LLC),57514,W0409,Ocotillo Express LLC,CA,265.4,530435,530435
330,2016,Ridgetop Energy LLC,54931,W0265,Ridgetop Energy II (Cannon Energy Corp),CA,46.9,151109,151109
331,2016,Ridgetop Energy LLC,10597,W0297,Ridgetop Energy (Cannon Energy Corp - 6092),CA,28.5,55899,55899
332,2016,San Gorgornio Farms Inc,50281,W0261,San Gorgonio Farms Wind Farm,CA,30.9,88025,88025
333,2016,San Gorgornio Farms Inc,10718,W0286,Karen Avenue Wind Farm,CA,11.7,27636,27636
334,2016,Seawest Energy Group,54258,W0277,Phoenix Wind (Section 20 Trust),CA,2.1,0,0
335,2016,Seawest Energy Group,50820,W0278,East Winds Project (NAWP Inc),CA,3.0,7125,7125
336,2016,Seawest Energy Group,40485,W0292,Altech III (NAWP Inc. - 6087),CA,25.1,32145,32145
337,2016,Seawest Energy Group,57302,W0299,Green Power I (Dutch Energy Corp),CA,16.2,22578,22578
338,2016,Seawest Energy Group,56075,W0355,High Winds,CA,162.0,312407,312407
339,2016,Seawest Energy Group,58092,W0356,Solano Wind 3 (SMUD Solano Phase 1),CA,127.8,349975,349975
340,2016,See WPRS for details,Missing,W0259,Mogul Energy,CA,4.0,908,908
341,2016,See WPRS for details,50386,W0262,Windland Inc Boxcar I,CA,7.5,17572,17572
342,2016,See WPRS for details,Missing,W0301,Windland Inc Boxcar II,CA,7.8,18588,18588
343,2016,See WPRS for details,50754,W0319,Oak Creek Wind Power,CA,31.5,66279,66279
344,2016,See WPRS for details,10586,W0360,Mountain View III,CA,22.4,73551,73551
345,2016,See WPRS for details,54686,W0374,Difwind Farms Ltd VI,CA,23.0,38405,38405
346,2016,See WPRS for details,54453,W0380,EDF Renewable Windfarm V Inc (ENXCO V),CA,15.5,25941,25941
347,2016,See WPRS for details,Missing,W0390,Golden Acorn Casino,CA,1.0,3542,3542
